time_s,temp_F,heat_on,stage
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.0,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
0.1,130.6,0,pre
